genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-10,-0.166153261,0.980980293,Unbiased,-0.317269458,0.77126196,PGFK01000938.1,NA,NA
RBBH-100,-0.079147364,0.99542733,Unbiased,0.093714869,0.916555911,CM009472.1,LG1,A
RBBH-1000,-0.493791495,0.665330446,Unbiased,-0.384879383,0.329009083,CM009479.1,LG4,A
RBBH-10000,-0.765893783,0.52256226,Unbiased,0.224708834,0.758988197,CM009474.1,LG11,A
RBBH-10006,0.820109747,0.202125626,Unbiased,-0.061189522,0.897573217,CM009475.1,LG12,A
RBBH-10007,0.045770716,0.99270358,Unbiased,-1.582677208,4.89E-10,CM009482.1,LG7,A
RBBH-1001,0.43384697,0.639358119,Unbiased,-0.109192056,0.775108827,CM009478.1,LG3,A
RBBH-10011,0.025283083,0.99594508,Unbiased,-0.002690338,0.994185887,CM009475.1,LG12,A
RBBH-10012,0.632300339,0.795504282,Unbiased,0.085315148,0.883001404,CM009483.1,LG8,A
RBBH-10013,0.683934843,0.654652527,Unbiased,-0.38693882,0.216687093,CM009480.1,LG5,A
RBBH-10017,0.273157707,0.924093981,Unbiased,-0.745465847,0.071300718,CM009482.1,LG7,A
RBBH-10020,-0.070462094,0.993903308,Unbiased,-0.16087552,0.823348143,PGFK01002391.1,NA,NA
RBBH-10021,0.164834656,0.965858001,Unbiased,0.268076709,0.368333419,CM009474.1,LG11,A
RBBH-10022,-0.169451597,0.978351944,Unbiased,0.197188069,0.693119762,CM009483.1,LG8,A
RBBH-10025,-0.179070383,0.978351944,Unbiased,-1.221490743,0.011315192,CM009483.1,LG8,A
RBBH-10026,-0.476643465,0.843267248,Unbiased,0.322080663,0.439301749,CM009478.1,LG3,A
RBBH-10027,-0.038482421,0.995088128,Unbiased,-0.358597326,0.268209093,CM009479.1,LG4,A
RBBH-10028,-0.185620375,0.951104896,Unbiased,0.456755545,0.156590758,PGFK01002391.1,NA,NA
RBBH-1003,-0.05764246,0.992060377,Unbiased,0.386738942,0.260667144,PGFK01000663.1,NA,NA
RBBH-10031,0.271465259,0.879927659,Unbiased,-0.174711869,0.613256491,CM009479.1,LG4,A
RBBH-10032,-0.203163367,0.965402002,Unbiased,0.032907303,0.961590311,CM009480.1,LG5,A
RBBH-10033,0.09772914,0.981904338,Unbiased,0.418442681,0.156697938,CM009484.1,LG9,A
RBBH-10034,0.143254042,0.965858001,Unbiased,-0.200850002,0.548483614,CM009482.1,LG7,A
RBBH-10035,0.106050841,0.980980293,Unbiased,-0.173181216,0.616697634,CM009478.1,LG3,A
RBBH-10036,0.010695053,0.997686618,Unbiased,0.061602903,0.908079819,CM009472.1,LG1,A
RBBH-10038,-0.782684843,0.734862661,Unbiased,-0.278994102,0.798124547,CM009473.1,LG10,A
RBBH-10039,0.112491693,0.978549372,Unbiased,0.975478473,0.000301689,CM009483.1,LG8,A
RBBH-1004,-0.268957029,0.908926919,Unbiased,0.208584305,0.643520093,CM009478.1,LG3,A
RBBH-10040,-0.614015625,0.775922349,Unbiased,0.568400983,0.186487478,CM009482.1,LG7,A
RBBH-10042,0.27906131,0.966142763,Unbiased,0.205100503,0.797774804,CM009478.1,LG3,A
RBBH-10043,-0.000518536,0.999905885,Unbiased,-0.470802604,0.659236747,NA,NA,NA
