genename,Tce_RT_log2FC_SB,Tce_RT_FDR_SB,Tce_RT_sexbias,Tce_RT_log2FC_SA,Tce_RT_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-10,0.152184353,0.843414506,Unbiased,-0.042534536,0.978437464,PGFK01000938.1,NA,NA
RBBH-100,-0.585733455,0.473350809,Unbiased,0.326934744,0.840309992,CM009472.1,LG1,A
RBBH-1000,-0.477260979,0.361331763,Unbiased,0.055324127,0.960341293,CM009479.1,LG4,A
RBBH-10000,-0.779172856,0.232752417,Unbiased,1.267109831,0.094355218,CM009474.1,LG11,A
RBBH-10001,5.301481278,5.66E-11,female_biased,-0.382423499,0.78146528,CM009474.1,LG11,A
RBBH-10005,1.256507957,0.18124013,Unbiased,-0.03170292,0.984016637,CM009483.1,LG8,A
RBBH-10006,-1.7892685,0.039745685,male_biased,NA,NA,CM009475.1,LG12,A
RBBH-10007,-1.091071879,0.029060103,male_biased,-1.022355396,0.124915466,CM009482.1,LG7,A
RBBH-1001,0.649660991,0.1067099,Unbiased,-0.057058963,0.955019632,CM009478.1,LG3,A
RBBH-10011,0.909553709,0.08201182,Unbiased,-0.668381915,0.443858367,CM009475.1,LG12,A
RBBH-10012,-2.843989374,5.80E-13,male_biased,0.425657142,0.76147656,CM009483.1,LG8,A
RBBH-10013,-1.767996912,0.198570477,Unbiased,-2.684361738,0.159689662,CM009480.1,LG5,A
RBBH-10017,-1.373895303,0.028560688,male_biased,0.378860692,0.774906176,CM009482.1,LG7,A
RBBH-10020,1.055024701,0.072275477,Unbiased,1.079254144,0.090369397,PGFK01002391.1,NA,NA
RBBH-10021,-0.796140988,0.086621476,Unbiased,0.496827264,0.549827419,CM009474.1,LG11,A
RBBH-10022,0.447144356,0.573725782,Unbiased,-0.376158286,0.775129733,CM009483.1,LG8,A
RBBH-10023,-1.242944472,0.01267493,male_biased,0.125465779,0.912880554,CM009479.1,LG4,A
RBBH-10024,0.511088262,0.433717157,Unbiased,0.216779692,0.860874023,CM009482.1,LG7,A
RBBH-10025,0.669742723,0.42877575,Unbiased,-1.572144305,0.104251516,CM009483.1,LG8,A
RBBH-10026,-1.059538918,0.037436995,male_biased,-0.157927634,0.890945296,CM009478.1,LG3,A
RBBH-10027,0.216577964,0.795933053,Unbiased,-0.304128592,0.805107625,CM009479.1,LG4,A
RBBH-10028,2.502629,2.52E-06,female_biased,-0.452843581,0.583992822,PGFK01002391.1,NA,NA
RBBH-1003,0.40878332,0.395116815,Unbiased,0.605906364,0.364725133,PGFK01000663.1,NA,NA
RBBH-10030,-2.897085287,5.03E-06,male_biased,0.464333315,0.744516478,CM009481.1,LG6,A
RBBH-10031,0.007494178,0.990095105,Unbiased,-0.140479708,0.877959332,CM009479.1,LG4,A
RBBH-10032,0.841997514,0.094254569,Unbiased,-0.231262046,0.833239725,CM009480.1,LG5,A
RBBH-10033,1.187528872,0.003428563,female_biased,-0.144941522,0.890945296,CM009484.1,LG9,A
RBBH-10034,-0.888794781,0.022452861,male_biased,-0.314912512,0.673901742,CM009482.1,LG7,A
RBBH-10035,-0.072166632,0.914111828,Unbiased,0.764363561,0.252774744,CM009478.1,LG3,A
RBBH-10036,-1.762360725,3.19E-06,male_biased,0.014300363,0.990830679,CM009472.1,LG1,A
RBBH-10037,-0.295084454,0.670634494,Unbiased,-0.61598264,0.665682407,CM009478.1,LG3,A
RBBH-10038,0.529496512,0.285970597,Unbiased,-0.589774075,0.373941723,CM009473.1,LG10,A
RBBH-10039,-1.802522024,0.00031245,male_biased,0.81855306,0.324963436,CM009483.1,LG8,A
RBBH-1004,-0.837822257,0.085241711,Unbiased,-0.09078056,0.940285082,CM009478.1,LG3,A
RBBH-10040,-1.565843565,0.000177645,male_biased,-0.33354832,0.704816954,CM009482.1,LG7,A
RBBH-10042,-1.563719925,0.002160575,male_biased,1.273305393,0.030636426,CM009478.1,LG3,A
RBBH-10043,-0.789982963,0.370417878,Unbiased,0.340894649,0.850400994,NA,NA,NA
RBBH-10044,-1.622517779,0.018603945,male_biased,-0.232062531,0.890945296,CM009477.1,LG2,A
RBBH-10045,-0.389485163,0.409548121,Unbiased,0.224563818,0.797849627,CM009480.1,LG5,A
RBBH-10046,-0.01673244,0.989564575,Unbiased,0.392214732,0.835694134,CM009472.1,LG1,A
RBBH-10047,-0.512717849,0.659490387,Unbiased,1.217419318,0.444788403,CM009483.1,LG8,A
RBBH-10048,-1.90867489,0.011003347,male_biased,2.369314763,0.007702527,CM009479.1,LG4,A
RBBH-10050,-2.640909123,0.002397979,male_biased,-3.077455362,0.005123745,CM009472.1,LG1,A
RBBH-10051,1.712852292,0.005864453,female_biased,-0.522861962,0.677314366,CM009473.1,LG10,A
RBBH-10052,0.500553326,0.36609203,Unbiased,-0.250934907,0.804829692,CM009484.1,LG9,A
RBBH-10053,3.659223631,0.00131496,female_biased,0.592259371,0.682571737,CM009473.1,LG10,A
RBBH-10055,-1.115217309,0.074566226,Unbiased,1.390177201,0.035691912,CM009480.1,LG5,A
RBBH-10056,-0.235566949,0.651255188,Unbiased,0.951513113,0.057270116,CM009481.1,LG6,A
RBBH-10058,0.535656166,0.286281314,Unbiased,-0.291345703,0.755201929,CM009482.1,LG7,A
RBBH-10059,-0.792794261,0.352056401,Unbiased,0.453967182,0.809695087,CM009482.1,LG7,A
RBBH-1006,1.861175789,0.003904724,female_biased,-0.787468361,0.418499212,PGFK01001247.1,NA,NA
RBBH-10061,-0.415532175,0.689164962,Unbiased,-0.1462109,0.93741916,CM009482.1,LG7,A
RBBH-10062,-2.311926411,0.000305099,male_biased,1.835409585,0.016208954,CM009472.1,LG1,A
RBBH-10063,-1.406443791,0.073264388,Unbiased,0.547101935,0.736527662,CM009474.1,LG11,A
RBBH-10064,-0.069294941,0.921812016,Unbiased,-0.441535064,0.615000031,CM009484.1,LG9,A
RBBH-10069,-0.43661706,0.346348958,Unbiased,-0.327822303,0.705767385,PGFK01001376.1,NA,NA
RBBH-1007,-4.679533207,8.02E-06,male_biased,1.631507145,0.327266013,CM009481.1,LG6,A
RBBH-10071,0.77398765,0.139056524,Unbiased,-0.539767827,0.524471233,CM009479.1,LG4,A
RBBH-10072,-0.640024081,0.190666936,Unbiased,1.09044041,0.084698855,CM009474.1,LG11,A
RBBH-10074,1.020705893,0.065976212,Unbiased,-0.201363708,0.858666235,CM009482.1,LG7,A
RBBH-10075,0.934215308,0.051929543,Unbiased,-0.252715666,0.787211529,CM009472.1,LG1,A
RBBH-10078,0.295422148,0.829578804,Unbiased,NA,NA,CM009484.1,LG9,A
RBBH-10079,0.433910768,0.516604079,Unbiased,0.631721016,0.497048387,CM009475.1,LG12,A
RBBH-1008,-1.054653281,0.013599393,male_biased,0.786713074,0.313099078,CM009480.1,LG5,A
RBBH-10080,1.130760816,0.094435509,Unbiased,-1.069926185,0.264279569,CM009476.1,LG13,X
RBBH-10082,0.570750121,0.244396062,Unbiased,-0.088022819,0.932261282,CM009472.1,LG1,A
RBBH-10085,0.491817059,0.637416917,Unbiased,-1.675927468,0.196395138,PGFK01002404.1,NA,NA
RBBH-10086,1.521154797,0.000624477,female_biased,0.367171068,0.63961836,CM009479.1,LG4,A
RBBH-10087,-3.27963915,2.10E-10,male_biased,1.890001782,0.007139033,CM009481.1,LG6,A
RBBH-10088,-0.793588507,0.06645546,Unbiased,0.096862748,0.925147039,CM009478.1,LG3,A
RBBH-1009,0.210223583,0.826899729,Unbiased,-1.304494638,0.180494052,CM009472.1,LG1,A
RBBH-10092,-1.352769756,0.107131899,Unbiased,1.053874306,0.455219954,CM009475.1,LG12,A
RBBH-10094,-0.699880943,0.073357118,Unbiased,-0.241029815,0.762373678,CM009479.1,LG4,A
RBBH-10095,0.88479756,0.232752417,Unbiased,0.555185713,0.651963935,CM009479.1,LG4,A
RBBH-10096,-2.667156992,0.000102118,male_biased,0.3515115,0.767217178,CM009477.1,LG2,A
RBBH-10098,0.168210226,0.916627287,Unbiased,0.43194633,0.875895374,CM009479.1,LG4,A
RBBH-101,0.621814729,0.23485012,Unbiased,0.699460574,0.286087119,CM009478.1,LG3,A
RBBH-10100,-1.957640262,0.004149733,male_biased,2.522461449,0.000659596,NA,NA,NA
RBBH-10102,0.856388559,0.032612511,female_biased,0.26266424,0.762522182,CM009484.1,LG9,A
RBBH-10103,0.684756378,0.343793382,Unbiased,-0.216109534,0.860064542,CM009474.1,LG11,A
RBBH-10104,0.042904092,0.938901531,Unbiased,-0.076934522,0.937865395,CM009478.1,LG3,A
RBBH-10106,0.026046704,0.986846746,Unbiased,-0.67365619,0.704403163,PGFK01001247.1,NA,NA
RBBH-10107,-0.352024346,0.76213009,Unbiased,1.274675622,0.403004526,CM009484.1,LG9,A
RBBH-10108,3.282692458,3.36E-19,female_biased,0.21743396,0.805021636,CM009478.1,LG3,A
RBBH-10109,-4.554809499,4.48E-16,male_biased,NA,NA,CM009477.1,LG2,A
RBBH-1011,0.605593373,0.279310545,Unbiased,-0.070898313,0.953644061,CM009481.1,LG6,A
RBBH-10110,0.970263408,0.040056188,female_biased,-0.14101798,0.886825038,PGFK01001659.1,NA,NA
RBBH-10111,-0.794340763,0.280210491,Unbiased,-0.009702224,0.99583642,CM009484.1,LG9,A
RBBH-10112,-0.136032797,0.860899349,Unbiased,0.26574892,0.831654802,CM009479.1,LG4,A
RBBH-10115,1.785360223,0.001138018,female_biased,-0.853618696,0.347430811,CM009476.1,LG13,X
RBBH-10116,-0.099182584,0.908970056,Unbiased,0.240414854,0.848374712,CM009473.1,LG10,A
RBBH-10117,-0.607432903,0.202488163,Unbiased,0.175085235,0.85949834,CM009472.1,LG1,A
RBBH-10118,-0.934303445,0.136984784,Unbiased,-0.322895428,0.79776758,NA,NA,NA
RBBH-10119,0.452775334,0.61658889,Unbiased,-0.765335522,0.394049724,CM009483.1,LG8,A
RBBH-1012,-0.859982508,0.114331011,Unbiased,0.680977954,0.56510497,CM009484.1,LG9,A
RBBH-10120,-0.752447138,0.371676702,Unbiased,0.279372205,0.878066962,CM009479.1,LG4,A
RBBH-10121,2.017434417,0.00267054,female_biased,-1.144392847,0.250747802,CM009483.1,LG8,A
RBBH-10122,0.502511963,0.348057092,Unbiased,-0.630223885,0.403751595,CM009478.1,LG3,A
RBBH-10123,0.16229043,0.845196639,Unbiased,-1.011230679,0.271009441,CM009483.1,LG8,A
RBBH-10124,0.580301589,0.412965316,Unbiased,-0.957440989,0.334847633,CM009478.1,LG3,A
RBBH-10125,1.818809405,0.123217486,Unbiased,-1.826358136,0.244261393,CM009481.1,LG6,A
RBBH-10126,0.489423289,0.452228087,Unbiased,0.318913822,0.785089221,PGFK01000374.1,NA,NA
RBBH-10127,0.204432394,0.852873204,Unbiased,0.336023799,0.852836629,CM009472.1,LG1,A
RBBH-10128,3.689466064,3.68E-13,female_biased,0.006749461,0.995280956,CM009480.1,LG5,A
RBBH-10129,-0.634722037,0.454346669,Unbiased,0.930732287,0.45669068,CM009481.1,LG6,A
RBBH-10130,0.725341968,0.276538766,Unbiased,-0.454910135,0.619198079,CM009478.1,LG3,A
RBBH-10131,0.94378889,0.1517563,Unbiased,-1.082123347,0.236463108,CM009478.1,LG3,A
RBBH-10132,-0.521185685,0.655276135,Unbiased,0.790468882,0.685161459,CM009474.1,LG11,A
RBBH-10134,-0.106824406,0.916026753,Unbiased,-0.380867918,0.83980698,CM009478.1,LG3,A
RBBH-10135,-0.899463894,0.265604097,Unbiased,0.137362396,0.946097334,CM009479.1,LG4,A
RBBH-10136,1.70001498,0.000275561,female_biased,-0.662192408,0.437707708,PGFK01001247.1,NA,NA
RBBH-10137,1.66967446,3.60E-05,female_biased,0.079136938,0.941698955,CM009479.1,LG4,A
RBBH-10138,0.915543489,0.15171279,Unbiased,-0.387439818,0.698595358,CM009476.1,LG13,X
RBBH-10140,-0.776832266,0.25943362,Unbiased,0.295717993,0.834976117,CM009480.1,LG5,A
RBBH-10141,0.864904428,0.141839252,Unbiased,-1.012375839,0.212423598,NA,NA,NA
RBBH-10142,2.42081888,7.46E-05,female_biased,-0.035202401,0.983334833,CM009473.1,LG10,A
RBBH-10145,-0.206679303,0.70163891,Unbiased,-0.782514656,0.198563048,CM009478.1,LG3,A
RBBH-10149,-0.399653343,0.730025736,Unbiased,0.970569318,0.592966922,PGFK01003638.1,NA,NA
RBBH-10153,-0.538459015,0.627812587,Unbiased,0.643716281,0.748913697,CM009483.1,LG8,A
RBBH-10154,-0.130010385,0.820032995,Unbiased,-0.338862728,0.673177057,CM009479.1,LG4,A
RBBH-10157,-0.923427449,0.022928738,male_biased,0.18571091,0.840667776,CM009473.1,LG10,A
RBBH-10158,-0.175105149,0.830210059,Unbiased,-0.382154899,0.752637689,CM009479.1,LG4,A
RBBH-10159,-0.381912115,0.628075574,Unbiased,1.342819042,0.033491001,CM009473.1,LG10,A
RBBH-10161,-1.535607998,0.17585479,Unbiased,0.935958083,0.588611294,CM009478.1,LG3,A
RBBH-10163,0.627126543,0.492744079,Unbiased,NA,NA,CM009483.1,LG8,A
RBBH-10164,0.68439323,0.251256106,Unbiased,-0.338397364,0.763232403,CM009472.1,LG1,A
RBBH-10165,-2.236121611,0.007827714,male_biased,1.682568551,0.142371227,CM009478.1,LG3,A
RBBH-10166,0.994171873,0.06131787,Unbiased,-0.527093171,0.527242401,CM009478.1,LG3,A
RBBH-10167,-0.90229243,0.02551699,male_biased,-0.00723256,0.994370366,CM009473.1,LG10,A
RBBH-10168,-0.757932973,0.236969249,Unbiased,0.336615712,0.7362331,CM009474.1,LG11,A
RBBH-10169,1.331996672,0.015309417,female_biased,-0.62428009,0.520692112,PGFK01003056.1,NA,NA
RBBH-1017,0.418951521,0.455501217,Unbiased,0.502670385,0.570660842,CM009478.1,LG3,A
RBBH-10174,0.240484754,0.691750853,Unbiased,0.030247621,0.984016637,CM009477.1,LG2,A
RBBH-10176,0.213936705,0.719038737,Unbiased,-0.792792638,0.248395655,CM009479.1,LG4,A
RBBH-10177,-2.208780661,0.025793548,male_biased,-1.223715961,0.301038551,CM009479.1,LG4,A
RBBH-10178,-0.69480023,0.164469922,Unbiased,0.325346538,0.710734802,CM009476.1,LG13,X
RBBH-10179,-0.078139105,0.909292697,Unbiased,0.234093948,0.844548413,CM009483.1,LG8,A
RBBH-1018,0.763714956,0.168356815,Unbiased,-0.090338832,0.938592875,CM009480.1,LG5,A
RBBH-10182,-1.298282504,0.009714091,male_biased,0.932252833,0.174676295,NA,NA,NA
RBBH-10185,-1.557964361,0.003003234,male_biased,0.6545852,0.475857487,CM009472.1,LG1,A
RBBH-10186,-0.381186877,0.450558488,Unbiased,-0.440192103,0.583489786,CM009474.1,LG11,A
RBBH-10188,0.787045965,0.278932408,Unbiased,-2.694453621,0.000261254,CM009479.1,LG4,A
RBBH-10189,0.001463748,0.99744947,Unbiased,-0.428108623,0.529241448,CM009478.1,LG3,A
RBBH-10190,-0.460332679,0.463731797,Unbiased,0.698392395,0.49052512,CM009480.1,LG5,A
RBBH-10191,0.482782845,0.680510167,Unbiased,0.490321634,0.7629602,CM009473.1,LG10,A
RBBH-10192,0.720381839,0.086607453,Unbiased,0.053924595,0.957249366,CM009478.1,LG3,A
RBBH-10193,-3.078426969,8.31E-10,male_biased,0.706108848,0.426649453,CM009476.1,LG13,X
RBBH-10194,1.05862198,0.018620817,female_biased,-0.577689422,0.395043554,CM009473.1,LG10,A
RBBH-10195,-1.592518152,6.89E-06,male_biased,0.363419981,0.597002039,CM009478.1,LG3,A
RBBH-10196,1.527506426,0.008835087,female_biased,0.074472876,0.95677032,CM009482.1,LG7,A
RBBH-10199,0.565492897,0.427257526,Unbiased,-0.215269656,0.870052099,CM009478.1,LG3,A
RBBH-102,0.610460949,0.229039111,Unbiased,-0.142242127,0.890945296,CM009482.1,LG7,A
RBBH-1020,-1.879558617,0.001081726,male_biased,0.45753091,0.678974732,CM009484.1,LG9,A
RBBH-10200,1.470463966,0.117142875,Unbiased,-1.988043833,0.093878749,CM009477.1,LG2,A
RBBH-10201,0.78419248,0.087997609,Unbiased,-0.538160084,0.429693745,CM009483.1,LG8,A
RBBH-10203,-0.624048594,0.127804804,Unbiased,-0.261937888,0.74938385,CM009478.1,LG3,A
RBBH-10204,0.985646128,0.266755655,Unbiased,-0.366506585,0.778392492,CM009480.1,LG5,A
RBBH-10207,-0.879971637,0.403704655,Unbiased,0.57894361,0.776523527,CM009479.1,LG4,A
RBBH-10208,-0.038275452,0.943395439,Unbiased,-0.177876944,0.839146718,CM009483.1,LG8,A
RBBH-10209,-2.022335231,3.66E-08,male_biased,-0.176672933,0.845912234,CM009479.1,LG4,A
RBBH-1021,1.518906493,0.024075389,female_biased,-0.867238295,0.352122641,CM009474.1,LG11,A
RBBH-10211,0.626600823,0.135575258,Unbiased,-0.392284486,0.616744609,CM009472.1,LG1,A
RBBH-10212,0.29336204,0.579776777,Unbiased,-0.136188278,0.889375434,CM009483.1,LG8,A
RBBH-10213,1.31445832,0.000782665,female_biased,-0.411219617,0.558224117,CM009480.1,LG5,A
RBBH-10214,0.120465738,0.840424569,Unbiased,0.12006073,0.899339909,CM009479.1,LG4,A
RBBH-10216,1.011450776,0.012902292,female_biased,-0.703825916,0.163840772,CM009483.1,LG8,A
RBBH-10217,-3.900353541,3.12E-11,male_biased,-0.175416501,0.933918144,PGFK01001818.1,NA,NA
RBBH-10218,0.889341475,0.080460084,Unbiased,-0.237934489,0.829828459,CM009474.1,LG11,A
RBBH-10220,0.836237088,0.055182083,Unbiased,0.352927524,0.64282575,CM009484.1,LG9,A
RBBH-10221,1.608822186,0.007219283,female_biased,-0.446224025,0.632795658,PGFK01000384.1,NA,NA
RBBH-10222,-3.04674299,0.006274352,male_biased,1.324857218,0.506328943,CM009482.1,LG7,A
RBBH-10224,-0.719507306,0.312338134,Unbiased,-0.188746193,0.890945296,CM009479.1,LG4,A
RBBH-10226,0.615567955,0.252790786,Unbiased,-0.401622446,0.653579205,CM009478.1,LG3,A
RBBH-10229,0.107877473,0.903480953,Unbiased,-0.25364765,0.84562301,CM009479.1,LG4,A
RBBH-1023,0.056500898,0.944072361,Unbiased,-1.649376177,0.008933586,CM009478.1,LG3,A
RBBH-10230,0.882681131,0.078525534,Unbiased,-0.164760381,0.874204389,PGFK01002391.1,NA,NA
RBBH-10232,-1.793503749,0.000198737,male_biased,-0.723690435,0.393274645,CM009479.1,LG4,A
RBBH-10233,0.232098978,0.783971494,Unbiased,0.32970913,0.796383856,PGFK01001247.1,NA,NA
RBBH-10234,1.436319122,0.049620739,female_biased,-0.045221067,0.980533662,CM009478.1,LG3,A
RBBH-10238,0.137643963,0.816853289,Unbiased,-0.418040905,0.645352057,CM009474.1,LG11,A
RBBH-10239,1.497426695,0.032647686,female_biased,-0.155571909,0.920164572,CM009478.1,LG3,A
RBBH-1024,-0.91578284,0.023103393,male_biased,0.718506769,0.253165738,CM009474.1,LG11,A
RBBH-10240,0.453446809,0.649760059,Unbiased,-0.350569478,0.842390672,CM009483.1,LG8,A
RBBH-10241,0.123584679,0.8603379,Unbiased,-0.283916839,0.793971012,CM009478.1,LG3,A
RBBH-10244,-0.924697846,0.042125735,male_biased,0.130672138,0.904247726,CM009479.1,LG4,A
