genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-100,0.019098855,0.988255388,Unbiased,-0.016003788,0.996226733,CM009472.1,LG1,A
RBBH-1000,-1.407842124,0.259109062,Unbiased,0.569590485,0.913458548,CM009479.1,LG4,A
RBBH-10000,-0.855102418,0.621528995,Unbiased,0.357741582,0.967168048,CM009474.1,LG11,A
RBBH-10001,2.897645142,1.51E-06,female_biased,0.326428941,0.908902941,CM009474.1,LG11,A
RBBH-10004,0.523372871,0.448574222,Unbiased,-0.805393238,0.562810045,CM009483.1,LG8,A
RBBH-10005,-0.347441584,0.728372767,Unbiased,0.016202325,0.996226733,CM009483.1,LG8,A
RBBH-10006,-0.623187736,0.168637659,Unbiased,-0.625577256,0.442322876,CM009475.1,LG12,A
RBBH-10007,-0.903504242,0.007318136,male_biased,-1.233213191,0.002813073,CM009482.1,LG7,A
RBBH-10009,0.34221794,0.630102252,Unbiased,-1.177910817,0.112299614,CM009475.1,LG12,A
RBBH-1001,-0.593539312,0.117430195,Unbiased,0.105055155,0.965681626,CM009478.1,LG3,A
RBBH-10010,-0.808710845,0.196950823,Unbiased,0.090329053,0.976581169,CM009473.1,LG10,A
RBBH-10011,-0.648758836,0.212777255,Unbiased,0.231437381,0.923451242,CM009475.1,LG12,A
RBBH-10012,-0.583295571,0.373190738,Unbiased,0.15543765,0.968837926,CM009483.1,LG8,A
RBBH-10013,-0.483770587,0.538574878,Unbiased,0.311140981,0.921182409,CM009480.1,LG5,A
RBBH-10015,-0.275104922,0.660383937,Unbiased,-0.280958538,0.907190558,CM009473.1,LG10,A
RBBH-10016,-3.390362987,5.29E-15,male_biased,1.471595846,0.019864714,CM009484.1,LG9,A
RBBH-10017,0.560700828,0.234548022,Unbiased,-0.458523423,0.707943745,CM009482.1,LG7,A
RBBH-10018,0.119630011,0.909035841,Unbiased,0.473995973,0.844288073,CM009475.1,LG12,A
RBBH-1002,-0.066984361,0.940457957,Unbiased,-0.632564419,0.732229633,CM009484.1,LG9,A
RBBH-10020,0.437866456,0.402770199,Unbiased,-0.099756165,0.972938545,PGFK01002391.1,NA,NA
RBBH-10021,0.174880497,0.777656058,Unbiased,0.695715798,0.326579372,CM009474.1,LG11,A
RBBH-10022,-0.256204273,0.686257224,Unbiased,0.544631049,0.591334438,CM009483.1,LG8,A
RBBH-10023,-0.358651426,0.665945508,Unbiased,0.375666458,0.902932832,CM009479.1,LG4,A
RBBH-10024,-0.074200312,0.912174413,Unbiased,0.393641889,0.869482147,CM009482.1,LG7,A
RBBH-10025,0.759647001,0.251213967,Unbiased,-0.658361178,0.581528577,CM009483.1,LG8,A
RBBH-10026,-0.408059178,0.350610125,Unbiased,0.328695322,0.823799103,CM009478.1,LG3,A
RBBH-10027,0.386070608,0.406126174,Unbiased,0.178482078,0.934031512,CM009479.1,LG4,A
RBBH-10028,0.880756289,0.020429068,female_biased,0.106453795,0.969965601,PGFK01002391.1,NA,NA
RBBH-10029,-0.306570575,0.663499345,Unbiased,-0.111947408,0.973682198,CM009482.1,LG7,A
RBBH-1003,-0.624694323,0.239727404,Unbiased,0.857550342,0.25226288,PGFK01000663.1,NA,NA
RBBH-10030,-0.718667157,0.403484313,Unbiased,-0.219399316,0.949123908,CM009481.1,LG6,A
RBBH-10031,0.135964589,0.809461848,Unbiased,-0.268399491,0.87001758,CM009479.1,LG4,A
RBBH-10032,0.233062696,0.681740052,Unbiased,-0.385016868,0.810424391,CM009480.1,LG5,A
RBBH-10033,0.632105741,0.262658223,Unbiased,-0.230519655,0.927023845,CM009484.1,LG9,A
RBBH-10034,-0.131425486,0.789078268,Unbiased,-0.308544107,0.770022294,CM009482.1,LG7,A
RBBH-10035,0.500740932,0.288965967,Unbiased,-0.48479679,0.744741848,CM009478.1,LG3,A
RBBH-10036,-0.040482639,0.94388022,Unbiased,-0.241453981,0.89471414,CM009472.1,LG1,A
RBBH-10037,0.165494767,0.82715402,Unbiased,0.000627108,0.999658304,CM009478.1,LG3,A
RBBH-10038,0.624661013,0.381969322,Unbiased,-0.091452743,0.977420535,CM009473.1,LG10,A
RBBH-10039,-0.295868016,0.470695042,Unbiased,0.752769873,0.147454865,CM009483.1,LG8,A
RBBH-1004,-0.400253427,0.32863324,Unbiased,-0.064465688,0.977420535,CM009478.1,LG3,A
RBBH-10040,-0.038639902,0.972523531,Unbiased,-0.346580009,0.926271741,CM009482.1,LG7,A
RBBH-10042,-0.456152243,0.488797146,Unbiased,0.784340986,0.436351038,CM009478.1,LG3,A
RBBH-10043,0.18330853,0.694848951,Unbiased,-0.913828498,0.050449701,NA,NA,NA
RBBH-10044,0.348903567,0.415999472,Unbiased,-0.082563734,0.976896941,CM009477.1,LG2,A
RBBH-10045,0.486163003,0.38370886,Unbiased,-0.285846201,0.875719543,CM009480.1,LG5,A
RBBH-10046,0.113897632,0.823472339,Unbiased,-0.101935118,0.963826733,CM009472.1,LG1,A
RBBH-10047,0.68842685,0.209980555,Unbiased,0.221352329,0.897129524,CM009483.1,LG8,A
