Match_col,Tte,Tbi
RBBH-1,Tte_TRINITY_DN24255_c0_g1_i1,Tbi_TRINITY_DN76844_c0_g1_i1
RBBH-100,Tte_TRINITY_DN773_c0_g1_i1,Tbi_TRINITY_DN57172_c0_g2_i1
RBBH-1000,Tte_TRINITY_DN56957_c0_g1_i1,Tbi_TRINITY_DN51266_c0_g1_i1
RBBH-10000,Tte_TRINITY_DN29743_c0_g3_i1,Tbi_TRINITY_DN67390_c1_g1_i1
RBBH-10001,Tte_TRINITY_DN26527_c1_g1_i1,Tbi_TRINITY_DN69784_c2_g2_i1
RBBH-10002,Tte_TRINITY_DN18024_c0_g1_i1,Tbi_TRINITY_DN49272_c0_g2_i1
RBBH-10003,Tte_TRINITY_DN29879_c10_g1_i1,Tbi_TRINITY_DN70442_c3_g1_i2
RBBH-10004,Tte_TRINITY_DN64487_c0_g1_i1,Tbi_TRINITY_DN43036_c0_g1_i1
RBBH-10005,Tte_TRINITY_DN22587_c0_g1_i1,Tbi_TRINITY_DN29084_c0_g2_i1
RBBH-10006,Tte_TRINITY_DN38929_c0_g1_i1,Tbi_TRINITY_DN57530_c0_g1_i1
RBBH-10008,Tte_TRINITY_DN29367_c11_g3_i1,Tbi_TRINITY_DN58211_c0_g10_i1
RBBH-1001,Tte_TRINITY_DN4127_c0_g1_i1,Tbi_TRINITY_DN9564_c0_g1_i1
RBBH-10010,Tte_TRINITY_DN75128_c0_g1_i1,Tbi_TRINITY_DN6180_c0_g1_i1
RBBH-10013,Tte_TRINITY_DN66740_c0_g1_i1,Tbi_TRINITY_DN60485_c1_g1_i1
RBBH-10014,Tte_TRINITY_DN29234_c2_g1_i1,Tbi_TRINITY_DN70246_c5_g2_i1
RBBH-10015,Tte_TRINITY_DN12879_c0_g1_i1,Tbi_TRINITY_DN50761_c0_g1_i1
RBBH-10016,Tte_TRINITY_DN22365_c0_g1_i1,Tbi_TRINITY_DN70279_c1_g2_i1
RBBH-10017,Tte_TRINITY_DN27434_c0_g1_i5,Tbi_TRINITY_DN70645_c0_g1_i3
RBBH-10018,Tte_TRINITY_DN4372_c0_g1_i1,Tbi_TRINITY_DN56367_c0_g1_i1
RBBH-10019,Tte_TRINITY_DN60158_c0_g1_i1,Tbi_TRINITY_DN70780_c0_g1_i1
RBBH-1002,Tte_TRINITY_DN29397_c16_g1_i1,Tbi_TRINITY_DN20608_c0_g1_i1
RBBH-10021,Tte_TRINITY_DN28728_c4_g1_i1,Tbi_TRINITY_DN72142_c8_g1_i2
RBBH-10022,Tte_TRINITY_DN40461_c0_g1_i1,Tbi_TRINITY_DN71088_c3_g1_i1
