OG_name,Tsi,Tge,Tpa,Tms,Tdi,Tps,Tcm,Tte,Tbi,Tce
OG-1,Tsi_TRINITY_DN30080_c0_g2_i2,Tge_TRINITY_DN47803_c0_g1_i1,Tpa_TRINITY_DN143416_c0_g1_i1,Tms_TRINITY_DN31199_c0_g1_i7,Tdi_TRINITY_DN28345_c0_g1_i1,Tps_TRINITY_DN93867_c0_g1_i5,Tcm_TRINITY_DN107456_c2_g1_i7,Tte_TRINITY_DN25746_c0_g1_i4,Tbi_TRINITY_DN69434_c0_g1_i2,Tce_TRINITY_DN107332_c0_g1_i1
OG-10,Tsi_TRINITY_DN31847_c0_g1_i1,Tge_TRINITY_DN48054_c0_g1_i3,Tpa_TRINITY_DN143396_c0_g1_i1,Tms_TRINITY_DN19107_c0_g2_i1,Tdi_TRINITY_DN31295_c0_g1_i2,Tps_TRINITY_DN95086_c0_g1_i2,Tcm_TRINITY_DN107117_c4_g2_i1,Tte_TRINITY_DN6841_c0_g2_i1,Tbi_TRINITY_DN69809_c0_g1_i1,Tce_TRINITY_DN107141_c0_g3_i1
OG-100,Tsi_TRINITY_DN20917_c0_g1_i1,Tge_TRINITY_DN12762_c0_g1_i1,Tpa_TRINITY_DN137095_c0_g1_i1,Tms_TRINITY_DN30876_c0_g1_i1,Tdi_TRINITY_DN28550_c0_g1_i1,Tps_TRINITY_DN94855_c0_g2_i3,Tcm_TRINITY_DN104844_c0_g1_i1,Tte_TRINITY_DN38771_c0_g1_i1,Tbi_TRINITY_DN68723_c0_g1_i1,Tce_TRINITY_DN93938_c0_g1_i1
OG-1000,Tsi_TRINITY_DN7463_c0_g1_i1,Tge_TRINITY_DN23696_c0_g1_i1,Tpa_TRINITY_DN123348_c0_g1_i1,Tms_TRINITY_DN9795_c0_g1_i1,Tdi_TRINITY_DN17778_c0_g2_i1,Tps_TRINITY_DN32539_c0_g1_i2,Tcm_TRINITY_DN74825_c0_g1_i1,Tte_TRINITY_DN838_c0_g1_i1,Tbi_TRINITY_DN23248_c0_g1_i1,Tce_TRINITY_DN83895_c0_g1_i2
OG-1001,Tsi_TRINITY_DN23952_c0_g1_i5,Tge_TRINITY_DN41217_c0_g1_i5,Tpa_TRINITY_DN135911_c0_g1_i2,Tms_TRINITY_DN29943_c0_g1_i3,Tdi_TRINITY_DN23630_c0_g1_i4,Tps_TRINITY_DN89173_c0_g1_i2,Tcm_TRINITY_DN98627_c0_g1_i5,Tte_TRINITY_DN23660_c0_g1_i2,Tbi_TRINITY_DN50274_c0_g1_i2,Tce_TRINITY_DN98074_c0_g1_i2
OG-1002,Tsi_TRINITY_DN52635_c0_g1_i1,Tge_TRINITY_DN18799_c0_g1_i1,Tpa_TRINITY_DN115457_c0_g1_i1,Tms_TRINITY_DN39927_c0_g1_i1,Tdi_TRINITY_DN45099_c0_g1_i1,Tps_TRINITY_DN42760_c0_g1_i1,Tcm_TRINITY_DN57556_c0_g1_i1,Tte_TRINITY_DN38564_c0_g1_i1,Tbi_TRINITY_DN56138_c0_g1_i1,Tce_TRINITY_DN73166_c0_g1_i1
OG-1003,Tsi_TRINITY_DN32215_c0_g1_i1,Tge_TRINITY_DN45786_c0_g1_i1,Tpa_TRINITY_DN141610_c1_g1_i1,Tms_TRINITY_DN55363_c0_g1_i1,Tdi_TRINITY_DN31807_c0_g1_i1,Tps_TRINITY_DN95183_c0_g1_i1,Tcm_TRINITY_DN93956_c0_g1_i1,Tte_TRINITY_DN8916_c0_g1_i1,Tbi_TRINITY_DN71152_c0_g1_i1,Tce_TRINITY_DN95664_c0_g1_i1
OG-1004,Tsi_TRINITY_DN27183_c0_g1_i1,Tge_TRINITY_DN29094_c0_g1_i1,Tpa_TRINITY_DN136900_c0_g1_i2,Tms_TRINITY_DN57190_c0_g1_i1,Tdi_TRINITY_DN1490_c0_g1_i1,Tps_TRINITY_DN84686_c0_g1_i1,Tcm_TRINITY_DN98994_c0_g1_i1,Tte_TRINITY_DN10484_c0_g1_i1,Tbi_TRINITY_DN69839_c0_g1_i4,Tce_TRINITY_DN93748_c0_g1_i1
OG-1005,Tsi_TRINITY_DN30215_c0_g1_i2,Tge_TRINITY_DN47569_c0_g3_i5,Tpa_TRINITY_DN136706_c1_g1_i3,Tms_TRINITY_DN2661_c0_g1_i1,Tdi_TRINITY_DN27434_c1_g1_i1,Tps_TRINITY_DN83832_c5_g1_i4,Tcm_TRINITY_DN105849_c0_g3_i4,Tte_TRINITY_DN23437_c0_g1_i3,Tbi_TRINITY_DN53674_c0_g2_i1,Tce_TRINITY_DN83767_c0_g1_i1
OG-1006,Tsi_TRINITY_DN20470_c0_g1_i2,Tge_TRINITY_DN38380_c0_g1_i1,Tpa_TRINITY_DN130899_c0_g3_i3,Tms_TRINITY_DN18379_c0_g1_i4,Tdi_TRINITY_DN16198_c0_g1_i4,Tps_TRINITY_DN76261_c0_g1_i2,Tcm_TRINITY_DN82205_c1_g1_i1,Tte_TRINITY_DN26972_c0_g1_i4,Tbi_TRINITY_DN59201_c0_g1_i2,Tce_TRINITY_DN94169_c0_g1_i1
