Match_col,Tps,Tdi
RBBH-1,Tps_TRINITY_DN23710_c0_g1_i1,Tdi_TRINITY_DN4836_c0_g1_i1
RBBH-10,Tps_TRINITY_DN87090_c2_g1_i1,Tdi_TRINITY_DN31015_c0_g2_i1
RBBH-100,Tps_TRINITY_DN91722_c2_g3_i1,Tdi_TRINITY_DN31549_c0_g1_i2
RBBH-1000,Tps_TRINITY_DN58653_c0_g1_i1,Tdi_TRINITY_DN16547_c0_g1_i1
RBBH-10000,Tps_TRINITY_DN88264_c2_g7_i1,Tdi_TRINITY_DN32254_c19_g1_i1
RBBH-10001,Tps_TRINITY_DN86547_c1_g1_i1,Tdi_TRINITY_DN51828_c0_g1_i1
RBBH-10002,Tps_TRINITY_DN71828_c0_g1_i1,Tdi_TRINITY_DN47451_c0_g1_i1
RBBH-10003,Tps_TRINITY_DN89753_c0_g1_i1,Tdi_TRINITY_DN19884_c0_g1_i1
RBBH-10004,Tps_TRINITY_DN79814_c0_g1_i2,Tdi_TRINITY_DN10458_c0_g2_i1
RBBH-10005,Tps_TRINITY_DN73375_c0_g1_i1,Tdi_TRINITY_DN14831_c0_g1_i1
RBBH-10006,Tps_TRINITY_DN95121_c0_g4_i3,Tdi_TRINITY_DN31478_c0_g1_i2
RBBH-10007,Tps_TRINITY_DN81604_c0_g1_i1,Tdi_TRINITY_DN19914_c0_g1_i1
RBBH-10008,Tps_TRINITY_DN95570_c1_g11_i5,Tdi_TRINITY_DN32310_c2_g7_i1
RBBH-1001,Tps_TRINITY_DN84247_c0_g1_i1,Tdi_TRINITY_DN23737_c0_g1_i1
RBBH-10010,Tps_TRINITY_DN72650_c0_g1_i2,Tdi_TRINITY_DN29736_c2_g1_i1
RBBH-10011,Tps_TRINITY_DN74546_c0_g1_i1,Tdi_TRINITY_DN48905_c0_g1_i1
RBBH-10012,Tps_TRINITY_DN91205_c0_g1_i1,Tdi_TRINITY_DN14858_c0_g1_i1
RBBH-10013,Tps_TRINITY_DN83937_c0_g1_i3,Tdi_TRINITY_DN14511_c0_g1_i1
RBBH-10014,Tps_TRINITY_DN91741_c0_g1_i1,Tdi_TRINITY_DN23596_c0_g1_i1
RBBH-10015,Tps_TRINITY_DN87695_c0_g1_i1,Tdi_TRINITY_DN21724_c0_g2_i1
RBBH-10016,Tps_TRINITY_DN106322_c0_g1_i1,Tdi_TRINITY_DN14445_c0_g2_i1
RBBH-10017,Tps_TRINITY_DN81377_c0_g1_i1,Tdi_TRINITY_DN25569_c0_g1_i1
RBBH-10018,Tps_TRINITY_DN89366_c0_g1_i1,Tdi_TRINITY_DN8381_c0_g1_i1
RBBH-10019,Tps_TRINITY_DN86145_c0_g2_i1,Tdi_TRINITY_DN17740_c0_g2_i1
RBBH-1002,Tps_TRINITY_DN74334_c0_g1_i1,Tdi_TRINITY_DN33155_c0_g1_i1
RBBH-10020,Tps_TRINITY_DN84841_c0_g1_i4,Tdi_TRINITY_DN29167_c0_g1_i2
RBBH-10022,Tps_TRINITY_DN91580_c0_g1_i1,Tdi_TRINITY_DN22444_c1_g1_i2
RBBH-10023,Tps_TRINITY_DN92313_c0_g2_i2,Tdi_TRINITY_DN30288_c0_g1_i1
RBBH-10025,Tps_TRINITY_DN92934_c1_g1_i6,Tdi_TRINITY_DN24509_c0_g1_i3
RBBH-10026,Tps_TRINITY_DN86218_c0_g1_i1,Tdi_TRINITY_DN45625_c0_g1_i1
RBBH-10027,Tps_TRINITY_DN89808_c4_g2_i1,Tdi_TRINITY_DN31371_c8_g2_i1
RBBH-10028,Tps_TRINITY_DN87623_c0_g1_i2,Tdi_TRINITY_DN55650_c0_g1_i1
RBBH-10029,Tps_TRINITY_DN94618_c0_g1_i1,Tdi_TRINITY_DN53095_c0_g1_i1
RBBH-1003,Tps_TRINITY_DN84519_c0_g1_i1,Tdi_TRINITY_DN26783_c1_g1_i1
RBBH-10030,Tps_TRINITY_DN84083_c0_g1_i1,Tdi_TRINITY_DN12856_c0_g1_i1
RBBH-10031,Tps_TRINITY_DN83157_c0_g1_i1,Tdi_TRINITY_DN60636_c0_g1_i1
RBBH-10032,Tps_TRINITY_DN94443_c0_g1_i3,Tdi_TRINITY_DN17063_c0_g1_i2
RBBH-10033,Tps_TRINITY_DN87637_c0_g1_i1,Tdi_TRINITY_DN31810_c5_g2_i1
RBBH-10034,Tps_TRINITY_DN87094_c0_g1_i1,Tdi_TRINITY_DN28900_c0_g1_i2
RBBH-10035,Tps_TRINITY_DN21674_c0_g1_i1,Tdi_TRINITY_DN5513_c0_g2_i1
RBBH-10036,Tps_TRINITY_DN78427_c0_g1_i1,Tdi_TRINITY_DN55565_c0_g1_i1
RBBH-10037,Tps_TRINITY_DN52645_c0_g1_i1,Tdi_TRINITY_DN32188_c6_g7_i1
RBBH-10038,Tps_TRINITY_DN77289_c0_g1_i1,Tdi_TRINITY_DN32243_c0_g4_i2
RBBH-10039,Tps_TRINITY_DN90571_c0_g17_i1,Tdi_TRINITY_DN31688_c6_g2_i1
RBBH-1004,Tps_TRINITY_DN41593_c0_g1_i1,Tdi_TRINITY_DN61054_c0_g1_i1
RBBH-10040,Tps_TRINITY_DN84682_c0_g1_i1,Tdi_TRINITY_DN47128_c0_g2_i1
RBBH-10041,Tps_TRINITY_DN81396_c0_g4_i1,Tdi_TRINITY_DN30213_c1_g1_i1
RBBH-10042,Tps_TRINITY_DN93681_c0_g1_i2,Tdi_TRINITY_DN30146_c0_g1_i1
RBBH-10043,Tps_TRINITY_DN101434_c0_g1_i1,Tdi_TRINITY_DN67184_c0_g1_i1
RBBH-10044,Tps_TRINITY_DN15550_c0_g1_i1,Tdi_TRINITY_DN38295_c0_g1_i1
RBBH-10045,Tps_TRINITY_DN85398_c0_g1_i2,Tdi_TRINITY_DN31122_c0_g1_i1
RBBH-10046,Tps_TRINITY_DN91307_c0_g1_i1,Tdi_TRINITY_DN33110_c0_g2_i1
RBBH-10047,Tps_TRINITY_DN81611_c1_g1_i1,Tdi_TRINITY_DN29909_c1_g2_i1
RBBH-10048,Tps_TRINITY_DN87891_c2_g1_i1,Tdi_TRINITY_DN55602_c0_g1_i1
RBBH-1005,Tps_TRINITY_DN81269_c1_g1_i5,Tdi_TRINITY_DN7364_c0_g1_i1
RBBH-10050,Tps_TRINITY_DN93240_c12_g1_i1,Tdi_TRINITY_DN32218_c1_g2_i1
RBBH-10051,Tps_TRINITY_DN92539_c0_g1_i2,Tdi_TRINITY_DN53020_c0_g1_i1
RBBH-10052,Tps_TRINITY_DN79266_c0_g1_i1,Tdi_TRINITY_DN11703_c0_g1_i1
RBBH-10053,Tps_TRINITY_DN67767_c0_g1_i1,Tdi_TRINITY_DN46173_c0_g1_i1
RBBH-10054,Tps_TRINITY_DN66953_c0_g1_i1,Tdi_TRINITY_DN11911_c0_g1_i1
RBBH-10055,Tps_TRINITY_DN86833_c0_g1_i1,Tdi_TRINITY_DN49381_c0_g1_i1
RBBH-10056,Tps_TRINITY_DN83238_c0_g1_i1,Tdi_TRINITY_DN42822_c0_g1_i1
RBBH-10057,Tps_TRINITY_DN59866_c0_g1_i1,Tdi_TRINITY_DN24291_c0_g2_i1
RBBH-10058,Tps_TRINITY_DN57940_c0_g1_i1,Tdi_TRINITY_DN9540_c0_g1_i1
RBBH-10059,Tps_TRINITY_DN95362_c9_g7_i2,Tdi_TRINITY_DN30580_c1_g1_i2
RBBH-1006,Tps_TRINITY_DN88163_c0_g1_i1,Tdi_TRINITY_DN14449_c0_g1_i1
RBBH-10060,Tps_TRINITY_DN85737_c0_g1_i2,Tdi_TRINITY_DN62672_c0_g1_i1
RBBH-10062,Tps_TRINITY_DN90729_c1_g2_i4,Tdi_TRINITY_DN17703_c0_g1_i1
RBBH-10063,Tps_TRINITY_DN95759_c0_g2_i2,Tdi_TRINITY_DN32226_c4_g1_i2
RBBH-10065,Tps_TRINITY_DN40496_c0_g1_i1,Tdi_TRINITY_DN4714_c1_g1_i1
RBBH-10067,Tps_TRINITY_DN90115_c0_g1_i1,Tdi_TRINITY_DN18044_c0_g3_i1
RBBH-10068,Tps_TRINITY_DN93704_c0_g1_i1,Tdi_TRINITY_DN67929_c0_g1_i1
RBBH-10069,Tps_TRINITY_DN92540_c2_g2_i1,Tdi_TRINITY_DN28949_c7_g1_i1
RBBH-1007,Tps_TRINITY_DN84331_c0_g1_i2,Tdi_TRINITY_DN13355_c0_g1_i1
RBBH-10070,Tps_TRINITY_DN93754_c0_g1_i2,Tdi_TRINITY_DN31871_c0_g2_i1
RBBH-10071,Tps_TRINITY_DN91083_c1_g1_i2,Tdi_TRINITY_DN28573_c1_g1_i1
RBBH-10072,Tps_TRINITY_DN95214_c0_g3_i3,Tdi_TRINITY_DN20042_c0_g1_i1
RBBH-10073,Tps_TRINITY_DN83781_c0_g1_i1,Tdi_TRINITY_DN41451_c0_g1_i1
RBBH-10074,Tps_TRINITY_DN89381_c0_g1_i1,Tdi_TRINITY_DN16828_c0_g1_i1
RBBH-10075,Tps_TRINITY_DN84285_c0_g1_i1,Tdi_TRINITY_DN14907_c0_g3_i1
RBBH-10076,Tps_TRINITY_DN67522_c0_g1_i1,Tdi_TRINITY_DN13487_c0_g1_i1
RBBH-10077,Tps_TRINITY_DN90386_c0_g2_i1,Tdi_TRINITY_DN31577_c5_g3_i1
RBBH-10078,Tps_TRINITY_DN92819_c0_g1_i1,Tdi_TRINITY_DN34323_c0_g1_i1
RBBH-10079,Tps_TRINITY_DN54677_c1_g1_i1,Tdi_TRINITY_DN66323_c0_g1_i1
RBBH-10080,Tps_TRINITY_DN86972_c0_g4_i1,Tdi_TRINITY_DN28768_c0_g1_i3
RBBH-10082,Tps_TRINITY_DN82909_c0_g5_i1,Tdi_TRINITY_DN3123_c0_g2_i1
RBBH-10083,Tps_TRINITY_DN77837_c0_g1_i1,Tdi_TRINITY_DN28709_c0_g1_i1
RBBH-10084,Tps_TRINITY_DN73434_c0_g1_i1,Tdi_TRINITY_DN42395_c0_g2_i1
RBBH-10085,Tps_TRINITY_DN86018_c0_g1_i1,Tdi_TRINITY_DN33727_c0_g1_i1
RBBH-10086,Tps_TRINITY_DN88910_c0_g1_i1,Tdi_TRINITY_DN30456_c0_g1_i2
RBBH-10087,Tps_TRINITY_DN94224_c0_g1_i1,Tdi_TRINITY_DN27607_c0_g2_i1
RBBH-10089,Tps_TRINITY_DN87600_c0_g1_i2,Tdi_TRINITY_DN47029_c0_g1_i1
RBBH-1009,Tps_TRINITY_DN90799_c4_g2_i2,Tdi_TRINITY_DN2012_c0_g1_i1
RBBH-10090,Tps_TRINITY_DN90403_c0_g2_i1,Tdi_TRINITY_DN4657_c0_g1_i1
RBBH-10091,Tps_TRINITY_DN23416_c0_g1_i1,Tdi_TRINITY_DN60880_c0_g1_i1
RBBH-10092,Tps_TRINITY_DN93415_c2_g10_i1,Tdi_TRINITY_DN32015_c7_g4_i2
RBBH-10093,Tps_TRINITY_DN92748_c3_g1_i2,Tdi_TRINITY_DN5309_c1_g1_i1
RBBH-10094,Tps_TRINITY_DN93408_c0_g1_i1,Tdi_TRINITY_DN30467_c0_g1_i1
RBBH-10095,Tps_TRINITY_DN82593_c0_g1_i2,Tdi_TRINITY_DN19286_c0_g2_i1
