Match_col,Tpa,Tge
RBBH-1,Tpa_TRINITY_DN129385_c9_g2_i4,Tge_TRINITY_DN32026_c0_g1_i1
RBBH-100,Tpa_TRINITY_DN139084_c0_g2_i2,Tge_TRINITY_DN40514_c0_g1_i1
RBBH-10000,Tpa_TRINITY_DN133429_c6_g1_i1,Tge_TRINITY_DN23081_c0_g1_i1
RBBH-10001,Tpa_TRINITY_DN143421_c5_g4_i2,Tge_TRINITY_DN46588_c9_g1_i10
RBBH-10002,Tpa_TRINITY_DN100500_c0_g1_i1,Tge_TRINITY_DN62230_c0_g1_i1
RBBH-10003,Tpa_TRINITY_DN128714_c3_g2_i2,Tge_TRINITY_DN43892_c0_g2_i1
RBBH-10004,Tpa_TRINITY_DN137488_c0_g2_i1,Tge_TRINITY_DN29299_c0_g1_i1
RBBH-10005,Tpa_TRINITY_DN132903_c0_g1_i1,Tge_TRINITY_DN35583_c0_g1_i1
RBBH-10006,Tpa_TRINITY_DN137484_c1_g1_i1,Tge_TRINITY_DN36539_c0_g1_i1
RBBH-10008,Tpa_TRINITY_DN120333_c0_g1_i3,Tge_TRINITY_DN34524_c0_g1_i1
RBBH-10009,Tpa_TRINITY_DN131510_c1_g1_i3,Tge_TRINITY_DN42819_c3_g1_i1
RBBH-1001,Tpa_TRINITY_DN128421_c2_g1_i1,Tge_TRINITY_DN15689_c0_g2_i1
RBBH-10010,Tpa_TRINITY_DN142837_c3_g3_i2,Tge_TRINITY_DN47639_c1_g4_i4
RBBH-10011,Tpa_TRINITY_DN128884_c3_g4_i3,Tge_TRINITY_DN47729_c5_g9_i1
RBBH-10012,Tpa_TRINITY_DN122375_c0_g1_i1,Tge_TRINITY_DN37171_c0_g1_i1
RBBH-10013,Tpa_TRINITY_DN116430_c0_g1_i1,Tge_TRINITY_DN11996_c0_g1_i1
RBBH-10014,Tpa_TRINITY_DN140107_c0_g1_i1,Tge_TRINITY_DN45129_c0_g1_i2
RBBH-10015,Tpa_TRINITY_DN130262_c0_g1_i2,Tge_TRINITY_DN33749_c0_g1_i1
RBBH-10016,Tpa_TRINITY_DN136540_c0_g1_i1,Tge_TRINITY_DN34340_c0_g2_i1
RBBH-10017,Tpa_TRINITY_DN116219_c0_g2_i1,Tge_TRINITY_DN60789_c0_g1_i1
RBBH-10018,Tpa_TRINITY_DN123692_c1_g2_i5,Tge_TRINITY_DN37294_c0_g1_i1
RBBH-10019,Tpa_TRINITY_DN141885_c0_g5_i1,Tge_TRINITY_DN47547_c0_g1_i1
RBBH-10020,Tpa_TRINITY_DN124898_c0_g2_i2,Tge_TRINITY_DN13432_c0_g1_i1
RBBH-10021,Tpa_TRINITY_DN139803_c4_g1_i1,Tge_TRINITY_DN44590_c0_g1_i5
RBBH-10022,Tpa_TRINITY_DN136210_c0_g6_i5,Tge_TRINITY_DN29135_c0_g1_i1
RBBH-10023,Tpa_TRINITY_DN128277_c0_g1_i1,Tge_TRINITY_DN10424_c0_g1_i1
RBBH-10025,Tpa_TRINITY_DN115607_c0_g1_i1,Tge_TRINITY_DN27676_c0_g2_i1
RBBH-10026,Tpa_TRINITY_DN120452_c0_g1_i1,Tge_TRINITY_DN2591_c0_g1_i1
RBBH-10027,Tpa_TRINITY_DN143157_c0_g1_i1,Tge_TRINITY_DN46734_c0_g1_i2
RBBH-10028,Tpa_TRINITY_DN142490_c2_g2_i4,Tge_TRINITY_DN40148_c0_g3_i1
RBBH-10029,Tpa_TRINITY_DN141313_c0_g10_i1,Tge_TRINITY_DN43465_c0_g1_i1
RBBH-1003,Tpa_TRINITY_DN125014_c0_g1_i1,Tge_TRINITY_DN33138_c0_g1_i1
RBBH-10030,Tpa_TRINITY_DN136117_c5_g2_i3,Tge_TRINITY_DN47225_c7_g1_i1
RBBH-10031,Tpa_TRINITY_DN86613_c0_g1_i1,Tge_TRINITY_DN40221_c0_g1_i1
RBBH-10032,Tpa_TRINITY_DN104798_c0_g1_i1,Tge_TRINITY_DN29655_c0_g1_i1
RBBH-10033,Tpa_TRINITY_DN125841_c1_g1_i3,Tge_TRINITY_DN46871_c6_g2_i1
RBBH-10034,Tpa_TRINITY_DN143074_c0_g1_i3,Tge_TRINITY_DN45795_c5_g1_i1
RBBH-10035,Tpa_TRINITY_DN141767_c2_g1_i1,Tge_TRINITY_DN47712_c0_g1_i2
RBBH-10036,Tpa_TRINITY_DN140148_c0_g5_i1,Tge_TRINITY_DN35044_c0_g1_i1
RBBH-10037,Tpa_TRINITY_DN110772_c0_g1_i2,Tge_TRINITY_DN47236_c0_g1_i4
RBBH-10039,Tpa_TRINITY_DN135910_c3_g3_i1,Tge_TRINITY_DN44340_c1_g3_i2
RBBH-1004,Tpa_TRINITY_DN92200_c1_g1_i1,Tge_TRINITY_DN31195_c0_g1_i1
RBBH-10040,Tpa_TRINITY_DN137952_c8_g1_i9,Tge_TRINITY_DN44704_c0_g6_i2
RBBH-10041,Tpa_TRINITY_DN142113_c0_g2_i2,Tge_TRINITY_DN45107_c0_g2_i1
RBBH-10042,Tpa_TRINITY_DN141768_c0_g3_i1,Tge_TRINITY_DN75842_c0_g1_i1
RBBH-10044,Tpa_TRINITY_DN117202_c0_g1_i1,Tge_TRINITY_DN25304_c0_g2_i1
RBBH-10045,Tpa_TRINITY_DN127093_c0_g2_i5,Tge_TRINITY_DN30086_c0_g1_i1
RBBH-10046,Tpa_TRINITY_DN141850_c0_g1_i2,Tge_TRINITY_DN42074_c0_g1_i1
RBBH-10047,Tpa_TRINITY_DN137405_c2_g9_i1,Tge_TRINITY_DN20879_c1_g1_i1
RBBH-10048,Tpa_TRINITY_DN128621_c0_g1_i1,Tge_TRINITY_DN42217_c1_g1_i1
RBBH-10049,Tpa_TRINITY_DN142626_c3_g1_i1,Tge_TRINITY_DN37597_c0_g1_i1
RBBH-1005,Tpa_TRINITY_DN135538_c0_g2_i1,Tge_TRINITY_DN44745_c0_g1_i4
