Match_col,Tsi,Tcm
RBBH-1,Tsi_TRINITY_DN47713_c0_g1_i1,Tcm_TRINITY_DN104044_c0_g1_i1
RBBH-10,Tsi_TRINITY_DN20296_c1_g1_i1,Tcm_TRINITY_DN90419_c0_g1_i1
RBBH-1000,Tsi_TRINITY_DN948_c0_g1_i1,Tcm_TRINITY_DN102541_c0_g1_i3
RBBH-10000,Tsi_TRINITY_DN25801_c0_g1_i2,Tcm_TRINITY_DN100193_c0_g1_i3
RBBH-10001,Tsi_TRINITY_DN30138_c0_g2_i1,Tcm_TRINITY_DN100179_c1_g1_i2
RBBH-10002,Tsi_TRINITY_DN61891_c0_g1_i1,Tcm_TRINITY_DN98991_c4_g1_i2
RBBH-10003,Tsi_TRINITY_DN53503_c0_g1_i1,Tcm_TRINITY_DN104458_c0_g1_i1
RBBH-10004,Tsi_TRINITY_DN28974_c0_g1_i1,Tcm_TRINITY_DN90225_c0_g1_i6
RBBH-10005,Tsi_TRINITY_DN2482_c0_g1_i1,Tcm_TRINITY_DN102581_c0_g1_i2
RBBH-10006,Tsi_TRINITY_DN10492_c2_g3_i1,Tcm_TRINITY_DN67467_c1_g2_i1
RBBH-10007,Tsi_TRINITY_DN46124_c0_g1_i1,Tcm_TRINITY_DN101188_c7_g2_i2
RBBH-10008,Tsi_TRINITY_DN32385_c0_g1_i1,Tcm_TRINITY_DN76556_c0_g1_i1
RBBH-10009,Tsi_TRINITY_DN29016_c1_g2_i1,Tcm_TRINITY_DN105259_c4_g1_i1
RBBH-1001,Tsi_TRINITY_DN13905_c1_g1_i1,Tcm_TRINITY_DN102906_c1_g1_i2
RBBH-10010,Tsi_TRINITY_DN23835_c0_g1_i1,Tcm_TRINITY_DN105491_c0_g1_i4
RBBH-10011,Tsi_TRINITY_DN25611_c0_g2_i1,Tcm_TRINITY_DN106498_c2_g1_i1
RBBH-10012,Tsi_TRINITY_DN29415_c5_g1_i1,Tcm_TRINITY_DN88209_c2_g1_i1
RBBH-10013,Tsi_TRINITY_DN16417_c0_g2_i1,Tcm_TRINITY_DN98230_c2_g1_i1
RBBH-10014,Tsi_TRINITY_DN15292_c0_g3_i1,Tcm_TRINITY_DN84758_c0_g1_i1
RBBH-10015,Tsi_TRINITY_DN17359_c0_g2_i1,Tcm_TRINITY_DN91722_c0_g1_i1
RBBH-10016,Tsi_TRINITY_DN3971_c0_g1_i1,Tcm_TRINITY_DN104161_c0_g1_i1
RBBH-10018,Tsi_TRINITY_DN62020_c0_g1_i1,Tcm_TRINITY_DN86665_c0_g1_i1
RBBH-10019,Tsi_TRINITY_DN3712_c0_g2_i1,Tcm_TRINITY_DN100979_c1_g1_i1
RBBH-1002,Tsi_TRINITY_DN49936_c0_g1_i1,Tcm_TRINITY_DN27884_c0_g1_i1
RBBH-10020,Tsi_TRINITY_DN3513_c0_g1_i1,Tcm_TRINITY_DN36612_c0_g1_i1
RBBH-10021,Tsi_TRINITY_DN3104_c0_g1_i1,Tcm_TRINITY_DN79407_c0_g1_i1
RBBH-10022,Tsi_TRINITY_DN30648_c0_g1_i1,Tcm_TRINITY_DN90986_c0_g1_i1
RBBH-10023,Tsi_TRINITY_DN30968_c0_g1_i1,Tcm_TRINITY_DN97693_c6_g12_i2
RBBH-10024,Tsi_TRINITY_DN42399_c0_g1_i1,Tcm_TRINITY_DN36435_c0_g1_i2
RBBH-10025,Tsi_TRINITY_DN69386_c0_g1_i1,Tcm_TRINITY_DN89904_c0_g1_i1
RBBH-10026,Tsi_TRINITY_DN20885_c0_g1_i1,Tcm_TRINITY_DN105927_c1_g1_i1
RBBH-10027,Tsi_TRINITY_DN73247_c0_g1_i1,Tcm_TRINITY_DN56935_c0_g1_i1
RBBH-10028,Tsi_TRINITY_DN3342_c0_g1_i1,Tcm_TRINITY_DN106265_c6_g2_i1
RBBH-10029,Tsi_TRINITY_DN31083_c4_g14_i1,Tcm_TRINITY_DN96239_c2_g3_i1
RBBH-10033,Tsi_TRINITY_DN29996_c0_g1_i2,Tcm_TRINITY_DN98631_c0_g1_i1
RBBH-10034,Tsi_TRINITY_DN19109_c0_g2_i1,Tcm_TRINITY_DN88481_c0_g1_i1
RBBH-10035,Tsi_TRINITY_DN27463_c0_g2_i3,Tcm_TRINITY_DN103976_c0_g1_i1
RBBH-10038,Tsi_TRINITY_DN38672_c0_g1_i1,Tcm_TRINITY_DN39357_c0_g1_i1
RBBH-10039,Tsi_TRINITY_DN30897_c5_g1_i2,Tcm_TRINITY_DN107806_c3_g1_i2
RBBH-1004,Tsi_TRINITY_DN61380_c0_g1_i1,Tcm_TRINITY_DN66964_c0_g1_i1
RBBH-10040,Tsi_TRINITY_DN27780_c0_g1_i1,Tcm_TRINITY_DN94636_c1_g1_i2
RBBH-10041,Tsi_TRINITY_DN26042_c0_g1_i1,Tcm_TRINITY_DN105751_c1_g8_i3
RBBH-10042,Tsi_TRINITY_DN66951_c0_g1_i1,Tcm_TRINITY_DN101477_c6_g1_i1
RBBH-10043,Tsi_TRINITY_DN10757_c0_g2_i1,Tcm_TRINITY_DN85134_c0_g1_i1
RBBH-10044,Tsi_TRINITY_DN30372_c0_g1_i1,Tcm_TRINITY_DN105380_c2_g2_i2
RBBH-10045,Tsi_TRINITY_DN34997_c0_g1_i1,Tcm_TRINITY_DN105378_c0_g2_i13
RBBH-10046,Tsi_TRINITY_DN68313_c0_g1_i1,Tcm_TRINITY_DN85758_c0_g1_i1
RBBH-10047,Tsi_TRINITY_DN21180_c0_g1_i1,Tcm_TRINITY_DN101608_c2_g3_i1
RBBH-10049,Tsi_TRINITY_DN146_c0_g1_i1,Tcm_TRINITY_DN95796_c2_g2_i1
RBBH-1005,Tsi_TRINITY_DN53912_c0_g1_i1,Tcm_TRINITY_DN90318_c0_g1_i1
RBBH-10050,Tsi_TRINITY_DN72580_c0_g1_i1,Tcm_TRINITY_DN83637_c0_g1_i1
RBBH-10051,Tsi_TRINITY_DN53669_c0_g1_i1,Tcm_TRINITY_DN74835_c0_g1_i1
RBBH-10052,Tsi_TRINITY_DN68094_c0_g1_i1,Tcm_TRINITY_DN87729_c1_g1_i1
