Match_col,Tms,Tce
RBBH-1,Tms_TRINITY_DN6698_c0_g1_i1,Tce_TRINITY_DN94176_c0_g1_i1
RBBH-10,Tms_TRINITY_DN56418_c0_g1_i1,Tce_TRINITY_DN68432_c0_g1_i1
RBBH-100,Tms_TRINITY_DN31655_c0_g1_i2,Tce_TRINITY_DN107079_c0_g2_i2
RBBH-1000,Tms_TRINITY_DN3694_c0_g1_i1,Tce_TRINITY_DN104354_c1_g1_i1
RBBH-10000,Tms_TRINITY_DN74493_c0_g1_i1,Tce_TRINITY_DN93105_c2_g1_i1
RBBH-10001,Tms_TRINITY_DN30622_c14_g4_i1,Tce_TRINITY_DN98793_c7_g12_i1
RBBH-10004,Tms_TRINITY_DN9294_c1_g1_i1,Tce_TRINITY_DN95657_c1_g1_i1
RBBH-10005,Tms_TRINITY_DN48442_c0_g1_i1,Tce_TRINITY_DN65821_c1_g1_i1
RBBH-10006,Tms_TRINITY_DN30682_c1_g3_i1,Tce_TRINITY_DN106212_c2_g5_i1
RBBH-10007,Tms_TRINITY_DN59078_c0_g1_i1,Tce_TRINITY_DN97091_c0_g1_i1
RBBH-10008,Tms_TRINITY_DN46447_c0_g1_i1,Tce_TRINITY_DN75618_c0_g1_i1
RBBH-10009,Tms_TRINITY_DN31095_c0_g1_i1,Tce_TRINITY_DN96359_c2_g2_i2
RBBH-1001,Tms_TRINITY_DN17792_c0_g2_i1,Tce_TRINITY_DN102141_c0_g1_i1
RBBH-10010,Tms_TRINITY_DN26449_c1_g1_i1,Tce_TRINITY_DN90473_c0_g1_i1
RBBH-10011,Tms_TRINITY_DN26991_c0_g1_i1,Tce_TRINITY_DN103431_c0_g1_i1
RBBH-10012,Tms_TRINITY_DN6224_c0_g1_i1,Tce_TRINITY_DN95488_c0_g1_i2
RBBH-10013,Tms_TRINITY_DN70745_c0_g1_i1,Tce_TRINITY_DN84554_c0_g2_i1
RBBH-10015,Tms_TRINITY_DN29767_c1_g1_i1,Tce_TRINITY_DN104671_c2_g1_i2
RBBH-10016,Tms_TRINITY_DN28355_c0_g2_i1,Tce_TRINITY_DN83943_c0_g1_i1
RBBH-10017,Tms_TRINITY_DN56689_c0_g1_i1,Tce_TRINITY_DN102873_c1_g1_i1
RBBH-10018,Tms_TRINITY_DN51366_c0_g1_i1,Tce_TRINITY_DN63221_c0_g1_i1
RBBH-10019,Tms_TRINITY_DN19109_c0_g1_i1,Tce_TRINITY_DN101396_c1_g1_i2
RBBH-1002,Tms_TRINITY_DN43965_c0_g1_i1,Tce_TRINITY_DN107055_c10_g2_i2
RBBH-10020,Tms_TRINITY_DN13568_c0_g1_i1,Tce_TRINITY_DN102357_c1_g2_i1
RBBH-10021,Tms_TRINITY_DN71230_c0_g1_i1,Tce_TRINITY_DN102884_c0_g1_i1
RBBH-10022,Tms_TRINITY_DN25463_c1_g1_i1,Tce_TRINITY_DN104408_c2_g1_i1
RBBH-10023,Tms_TRINITY_DN22058_c2_g1_i1,Tce_TRINITY_DN101325_c1_g3_i3
RBBH-10024,Tms_TRINITY_DN14314_c0_g1_i1,Tce_TRINITY_DN84464_c0_g1_i1
RBBH-10025,Tms_TRINITY_DN30826_c1_g6_i1,Tce_TRINITY_DN106245_c0_g1_i1
RBBH-10026,Tms_TRINITY_DN18746_c0_g1_i1,Tce_TRINITY_DN92310_c0_g1_i1
RBBH-10027,Tms_TRINITY_DN20593_c0_g1_i1,Tce_TRINITY_DN106099_c0_g1_i2
RBBH-10028,Tms_TRINITY_DN27947_c0_g1_i2,Tce_TRINITY_DN68117_c0_g1_i1
RBBH-10029,Tms_TRINITY_DN31664_c1_g27_i1,Tce_TRINITY_DN105502_c1_g18_i1
RBBH-1003,Tms_TRINITY_DN31752_c10_g6_i2,Tce_TRINITY_DN90952_c0_g1_i1
RBBH-10030,Tms_TRINITY_DN56697_c0_g1_i1,Tce_TRINITY_DN107047_c0_g1_i1
RBBH-10031,Tms_TRINITY_DN31044_c0_g1_i1,Tce_TRINITY_DN96159_c0_g1_i1
RBBH-10032,Tms_TRINITY_DN24723_c0_g1_i1,Tce_TRINITY_DN94103_c0_g1_i1
RBBH-10033,Tms_TRINITY_DN63053_c0_g1_i1,Tce_TRINITY_DN87430_c0_g1_i1
RBBH-10034,Tms_TRINITY_DN29720_c0_g2_i1,Tce_TRINITY_DN106403_c0_g1_i2
RBBH-10035,Tms_TRINITY_DN29701_c1_g2_i1,Tce_TRINITY_DN105071_c5_g1_i1
RBBH-10036,Tms_TRINITY_DN6237_c0_g1_i1,Tce_TRINITY_DN92387_c0_g1_i1
RBBH-10037,Tms_TRINITY_DN43742_c0_g1_i1,Tce_TRINITY_DN85726_c0_g1_i1
RBBH-10038,Tms_TRINITY_DN6434_c0_g1_i1,Tce_TRINITY_DN91161_c1_g1_i1
RBBH-10039,Tms_TRINITY_DN21980_c0_g1_i1,Tce_TRINITY_DN107128_c0_g1_i4
RBBH-1004,Tms_TRINITY_DN72618_c0_g1_i1,Tce_TRINITY_DN89713_c0_g1_i1
RBBH-10040,Tms_TRINITY_DN11299_c0_g1_i1,Tce_TRINITY_DN94280_c0_g1_i1
RBBH-10042,Tms_TRINITY_DN28325_c0_g1_i2,Tce_TRINITY_DN84176_c0_g1_i1
RBBH-10043,Tms_TRINITY_DN31637_c1_g1_i2,Tce_TRINITY_DN106384_c0_g4_i2
RBBH-10044,Tms_TRINITY_DN22722_c0_g1_i2,Tce_TRINITY_DN99957_c0_g1_i1
RBBH-10045,Tms_TRINITY_DN19108_c0_g2_i1,Tce_TRINITY_DN97716_c0_g5_i1
RBBH-10046,Tms_TRINITY_DN19821_c0_g2_i1,Tce_TRINITY_DN133374_c0_g1_i1
RBBH-10047,Tms_TRINITY_DN20830_c0_g2_i1,Tce_TRINITY_DN104684_c6_g1_i1
RBBH-10048,Tms_TRINITY_DN4875_c0_g1_i1,Tce_TRINITY_DN106682_c0_g2_i1
RBBH-10049,Tms_TRINITY_DN3924_c0_g1_i1,Tce_TRINITY_DN42498_c0_g1_i1
RBBH-1005,Tms_TRINITY_DN65211_c0_g1_i1,Tce_TRINITY_DN98542_c0_g1_i2
RBBH-10050,Tms_TRINITY_DN76795_c0_g1_i1,Tce_TRINITY_DN107087_c2_g9_i2
RBBH-10051,Tms_TRINITY_DN42027_c0_g1_i1,Tce_TRINITY_DN53673_c0_g1_i1
RBBH-10052,Tms_TRINITY_DN30621_c3_g4_i1,Tce_TRINITY_DN107652_c2_g1_i2
RBBH-10053,Tms_TRINITY_DN33460_c0_g1_i1,Tce_TRINITY_DN84350_c0_g1_i1
RBBH-10054,Tms_TRINITY_DN53394_c0_g1_i1,Tce_TRINITY_DN93937_c1_g1_i1
RBBH-10055,Tms_TRINITY_DN14641_c0_g3_i1,Tce_TRINITY_DN104315_c0_g1_i1
RBBH-10056,Tms_TRINITY_DN919_c0_g1_i1,Tce_TRINITY_DN98317_c7_g1_i1
RBBH-10057,Tms_TRINITY_DN14685_c0_g1_i1,Tce_TRINITY_DN97522_c1_g1_i1
RBBH-10058,Tms_TRINITY_DN25462_c0_g3_i1,Tce_TRINITY_DN106570_c1_g1_i2
RBBH-10059,Tms_TRINITY_DN14681_c0_g1_i1,Tce_TRINITY_DN101664_c0_g1_i1
RBBH-1006,Tms_TRINITY_DN26635_c0_g1_i1,Tce_TRINITY_DN47764_c0_g1_i1
RBBH-10060,Tms_TRINITY_DN31153_c3_g1_i1,Tce_TRINITY_DN102115_c3_g1_i3
RBBH-10061,Tms_TRINITY_DN66427_c0_g1_i1,Tce_TRINITY_DN106978_c3_g1_i1
RBBH-10062,Tms_TRINITY_DN9263_c0_g1_i1,Tce_TRINITY_DN102276_c2_g5_i1
RBBH-10063,Tms_TRINITY_DN28126_c0_g1_i2,Tce_TRINITY_DN48653_c0_g1_i1
RBBH-10064,Tms_TRINITY_DN31849_c3_g2_i5,Tce_TRINITY_DN102773_c3_g6_i1
RBBH-10065,Tms_TRINITY_DN7973_c0_g2_i1,Tce_TRINITY_DN44312_c0_g2_i1
RBBH-10066,Tms_TRINITY_DN50722_c0_g1_i1,Tce_TRINITY_DN91102_c0_g1_i1
RBBH-10067,Tms_TRINITY_DN72061_c0_g1_i1,Tce_TRINITY_DN117964_c0_g1_i1
RBBH-10068,Tms_TRINITY_DN77080_c0_g1_i1,Tce_TRINITY_DN86447_c0_g1_i1
RBBH-10069,Tms_TRINITY_DN9410_c0_g1_i1,Tce_TRINITY_DN94988_c0_g1_i1
RBBH-1007,Tms_TRINITY_DN24326_c0_g1_i1,Tce_TRINITY_DN104601_c0_g1_i1
RBBH-10071,Tms_TRINITY_DN26981_c0_g1_i1,Tce_TRINITY_DN66013_c0_g1_i1
RBBH-10072,Tms_TRINITY_DN5274_c0_g1_i1,Tce_TRINITY_DN106024_c0_g1_i1
RBBH-10074,Tms_TRINITY_DN10066_c0_g1_i1,Tce_TRINITY_DN99705_c0_g1_i1
RBBH-10075,Tms_TRINITY_DN31692_c10_g9_i3,Tce_TRINITY_DN45613_c0_g1_i1
RBBH-10076,Tms_TRINITY_DN34534_c0_g1_i1,Tce_TRINITY_DN98948_c1_g1_i1
RBBH-10077,Tms_TRINITY_DN25376_c0_g1_i1,Tce_TRINITY_DN105986_c0_g1_i1
